#,date,daily_events,in,mm
1,9/17/2003,1,0.01,0.2
2,9/18/2003,0,0,0
3,9/19/2003,0,0,0
4,9/20/2003,0,0,0
5,9/21/2003,0,0,0
6,9/22/2003,0,0,0
7,9/23/2003,0,0,0
8,9/24/2003,0,0,0
9,9/25/2003,0,0,0
10,9/26/2003,0,0,0
11,9/27/2003,0,0,0
12,9/28/2003,0,0,0
13,9/29/2003,0,0,0
14,9/30/2003,0,0,0
15,10/1/2003,0,0,0
16,10/2/2003,0,0,0
17,10/3/2003,0,0,0
18,10/4/2003,0,0,0
19,10/5/2003,0,0,0
20,10/6/2003,0,0,0
21,10/7/2003,0,0,0
22,10/8/2003,0,0,0
23,10/9/2003,0,0,0
24,10/10/2003,0,0,0
25,10/11/2003,0,0,0
26,10/12/2003,0,0,0
27,10/13/2003,0,0,0
28,10/14/2003,0,0,0
29,10/15/2003,0,0,0
30,10/16/2003,0,0,0
31,10/17/2003,0,0,0
32,10/18/2003,0,0,0
33,10/19/2003,0,0,0
34,10/20/2003,0,0,0
35,10/21/2003,0,0,0
36,10/22/2003,0,0,0
37,10/23/2003,0,0,0
38,10/24/2003,0,0,0
39,10/25/2003,0,0,0
40,10/26/2003,0,0,0
41,10/27/2003,0,0,0
42,10/28/2003,0,0,0
43,10/29/2003,0,0,0
44,10/30/2003,0,0,0
45,10/31/2003,4,0.04,0.8
46,11/1/2003,1,0.01,0.2
47,11/2/2003,26,0.26,5.2
48,11/3/2003,2,0.02,0.4
49,11/4/2003,0,0,0
50,11/5/2003,0,0,0
51,11/6/2003,28,0.28,5.6
52,11/7/2003,2,0.02,0.4
53,11/8/2003,117,1.17,23.4
54,11/9/2003,32,0.32,6.4
55,11/10/2003,0,0,0
56,11/11/2003,0,0,0
57,11/12/2003,0,0,0
58,11/13/2003,0,0,0
59,11/14/2003,36,0.36,7.2
60,11/15/2003,13,0.13,2.6
61,11/16/2003,0,0,0
62,11/17/2003,2,0.02,0.4
63,11/18/2003,0,0,0
64,11/19/2003,0,0,0
65,11/20/2003,0,0,0
66,11/21/2003,0,0,0
67,11/22/2003,0,0,0
68,11/23/2003,0,0,0
69,11/24/2003,0,0,0
70,11/25/2003,0,0,0
71,11/26/2003,0,0,0
72,11/27/2003,0,0,0
73,11/28/2003,7,0.07,1.4
74,11/29/2003,5,0.05,1
75,11/30/2003,49,0.49,9.8
76,12/1/2003,113,1.13,22.6
77,12/2/2003,22,0.22,4.4
78,12/3/2003,0,0,0
79,12/4/2003,22,0.22,4.4
80,12/5/2003,27,0.27,5.4
81,12/6/2003,91,0.91,18.2
82,12/7/2003,1,0.01,0.2
83,12/8/2003,0,0,0
84,12/9/2003,142,1.42,28.4
85,12/10/2003,57,0.57,11.4
86,12/11/2003,0,0,0
87,12/12/2003,37,0.37,7.4
88,12/13/2003,36,0.36,7.2
89,12/14/2003,55,0.55,11
90,12/15/2003,0,0,0
91,12/16/2003,0,0,0
92,12/17/2003,0,0,0
93,12/18/2003,0,0,0
94,12/19/2003,39,0.39,7.8
95,12/20/2003,61,0.61,12.2
96,12/21/2003,1,0.01,0.2
97,12/22/2003,0,0,0
98,12/23/2003,57,0.57,11.4
99,12/24/2003,188,1.88,37.6
100,12/25/2003,4,0.04,0.8
101,12/26/2003,0,0,0
102,12/27/2003,0,0,0
103,12/28/2003,2,0.02,0.4
104,12/29/2003,471,4.71,94.2
105,12/30/2003,1,0.01,0.2
106,12/31/2003,0,0,0
107,1/1/2004,177,1.77,35.4
108,1/2/2004,14,0.14,2.8
109,1/3/2004,0,0,0
110,1/4/2004,0,0,0
111,1/5/2004,0,0,0
112,1/6/2004,4,0.04,0.8
113,1/7/2004,15,0.15,3
114,1/8/2004,7,0.07,1.4
115,1/9/2004,44,0.44,8.8
116,1/10/2004,1,0.01,0.2
117,1/11/2004,0,0,0
118,1/12/2004,0,0,0
119,1/13/2004,1,0.01,0.2
120,1/14/2004,7,0.07,1.4
121,1/15/2004,0,0,0
122,1/16/2004,0,0,0
123,1/17/2004,0,0,0
124,1/18/2004,0,0,0
125,1/19/2004,0,0,0
126,1/20/2004,0,0,0
127,1/21/2004,0,0,0
128,1/22/2004,0,0,0
129,1/23/2004,7,0.07,1.4
130,1/24/2004,7,0.07,1.4
131,1/25/2004,0,0,0
132,1/26/2004,11,0.11,2.2
133,1/27/2004,85,0.85,17
134,1/28/2004,0,0,0
135,1/29/2004,0,0,0
136,1/30/2004,5,0.05,1
137,1/31/2004,0,0,0
138,2/1/2004,11,0.11,2.2
139,2/2/2004,137,1.37,27.4
140,2/3/2004,14,0.14,2.8
141,2/4/2004,0,0,0
142,2/5/2004,0,0,0
143,2/6/2004,7,0.07,1.4
144,2/7/2004,1,0.01,0.2
145,2/8/2004,0,0,0
146,2/9/2004,0,0,0
147,2/10/2004,0,0,0
148,2/11/2004,0,0,0
149,2/12/2004,0,0,0
150,2/13/2004,18,0.18,3.6
151,2/14/2004,0,0,0
152,2/15/2004,2,0.02,0.4
153,2/16/2004,324,3.24,64.8
154,2/17/2004,147,1.47,29.4
155,2/18/2004,29,0.29,5.8
156,2/19/2004,0,0,0
157,2/20/2004,1,0.01,0.2
158,2/21/2004,2,0.02,0.4
159,2/22/2004,13,0.13,2.6
160,2/23/2004,0,0,0
161,2/24/2004,26,0.26,5.2
162,2/25/2004,167,1.67,33.4
163,2/26/2004,42,0.42,8.4
